Seq	env_sample	month	station	cruise	yyyy-mm-ddThh-mm-ss-sss	Date_mm.dd.yy	Latitude_degrees_north	Longitude_degrees_east	Bot_Depth_m	depth_m	depthbin	Pressure	CTD.S	CTD.T	Potemp090C	CTD.O2	Oxsatperc	CTD.fluo	Turbidity	sigma	percChl_a_10	Chl_a	Chl_a_AVG	Chl_a_10um	Chla10_AVG	Phaeop_AVG	Phaeop_SD	TOC_uM	TOC_ug	TN_uM	TON_uM	TON_ug	TOC.TON	NH4_uM	NO2_uM	NO3.NO2_uM	Total_inorgN_uM	PO4_uM	SiOH4_uM	POC_ug	sd_POC_ug	POC_uM	PON_ug	sd_PON_ug	PON_uM	POC.PON	DOC_uM	DOC_ug	DON_uM	DON_ug	DON.TN	DOC.DON	BP_ug	sd_BP	BR	BCD	Picophytoeukaryotes	Nanophytoplankton	Large_Nanphyto	Small_Nanophyto	Synechococcus	Phaeocystis	Cryptophytes	Dead_phyto	Bacteria	HNA_bacteria	Small_virus	Medium_virus	Large_virus	Total_virus	HNA.LNA_bacteria	smallVirus.Bacteria	HNF	Large_HNF	HNA_Bac_from_HNF_plot	LysoTrack_HNF	Humic_Fl_A_RU	Humic_FL_C_RU	Humic_Fl_M_RU	Aminoacid_Fl_T_RU	Fluorescence_Index	a255_m.1	a300_m.1	a351_m.1	a375_m.1	S300.650nm__um.1	R2_of_slope_fit_300.650	S275.295nm__um.1	S300.450nm__um.1
12	Jan_B16_1000	Jan	B16	MP1	2014-01-16T22-42-00	10.01.14	81.77133333	19.16466667	3166	1000	meso	1013.779	34.8991	-0.2746	-0.3177	5.6755	8.10964	0.0389	0.003	28.0391	NA	0.001	NA	NA	NA	NA	NA	45	540	17.2	4.2	59.4	10.6	0.22	NA	12.74	12.96	0.97	7.85	71.84	17.96	5.99	3.31	1.68	0.24	25.31	39.01	468.16	4.003505634	56.05	0.94	9.74	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	197000	25900	13600000	2010000	661000	16300000	0.15	69.33	18.036	4.008	1040.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	Jan_B16_0500	Jan	B16	MP1	2014-01-16T22-42-00	10.01.14	81.77133333	19.16466667	3166	500	meso	506.565	34.9051	0.9519	0.9275	5.70604	7.8512	0.0381	0	27.9725	NA	0.002	NA	NA	NA	NA	NA	51.6	619.2	17.7	5.4	76.2	9.5	0.05	NA	12.21	12.26	0.94	6.1	58.42	5.41	4.87	2.44	0.54	0.17	27.98	46.73	560.78	5.27	73.72	0.97	8.87	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	323000	32700	12500000	2400000	742000	15600000	0.11	38.61	30.038	5.006	1494.994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Jan_B16_0020	Jan	B16	MP1	2014-01-16T22-42-00	10.01.14	81.77133333	19.16466667	3166	20	epi	20.7	34.2812	-1.8466	-1.847	6.6915	8.49892	0.0546	0.003	27.5979	6.76056338	0.018	NA	0.001	NA	NA	NA	58.6	703.2	12.3	7	97.6	8.4	0.42	NA	4.91	5.33	0.41	2.4	37.77	7.86	3.15	3.89	0.86	0.28	11.33	55.45	665.43	6.692280676	93.69	0.96	8.29	NA	NA	NA	NA	106.061	5.051	NA	NA	40	NA	NA	NA	781000	57100	21200000	7310000	2160000	30600000	0.08	27.1	65.122	15.028	2306.199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	Jan_B16_0001	Jan	B16	MP1	2014-01-16T22-42-00	10.01.14	81.77133333	19.16466667	3166	1	epi	1.342	34.2777	-1.849	-1.849	6.71858	8.49969	0.0576	14.619	27.595	5.673076923	0.015	NA	0.001	NA	NA	NA	55	660	12.3	6.7	93.4	8.2	0.49	NA	5.17	5.63	0.43	2.61	34.04	2.75	2.84	4.54	1.05	0.32	8.75	52.16	625.96	6.35	88.84	0.95	8.22	NA	NA	NA	NA	141.414	15.152	NA	NA	35	NA	NA	NA	849000	66400	17800000	6170000	1860000	25800000	0.08	20.94	69.462	12.516	2328.536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	Jan_B08_1000	Jan	B08	MP1	2014-01-16T22-42-00	11.01.14	81.43066667	17.87966667	980	1000	meso	1011.967	34.9179	-0.2465	-0.2898	5.65473	8.10253	0.0396	0.307	28.0529	4.421052632	0.009	NA	4.00E-04	NA	NA	NA	58.8	705.6	NA	NA	NA	NA	0.17	NA	12.89	13.06	0.93	8.86	37.45	4.9	3.12	5.07	0.57	0.36	8.63	55.68	668.15	NA	NA	NA	NA	NA	NA	NA	NA	14.706	0	NA	NA	0	NA	NA	NA	495000	46000	1.30E+07	2260000	709000	15900000	0.1	26.18	24.716	6.012	1443.554	NA	0.024944693	0.01396732	0.016852634	0.015701256	1.804263312	1.024519	0.333619	0.124046	0.080289	20.443796	0.993856	28.101366	13.703171
47	Jan_B08_0500	Jan	B08	MP1	2014-01-16T22-42-00	11.01.14	81.43066667	17.87966667	980	500	meso	506.757	35.032	2.2839	2.2539	5.7839	7.58022	0.0381	0.079	27.9741	8.594164456	0.014	NA	0.0012	NA	NA	NA	32.1	385.2	NA	NA	NA	NA	0.03	NA	11.13	11.16	0.79	5.56	27.57	8.07	2.3	3.21	1.58	0.23	10.02	29.8	357.63	NA	NA	NA	NA	NA	NA	NA	NA	5.051	0	NA	NA	25	NA	NA	NA	772000	60500	14400000	4870000	1310000	20600000	0.09	18.65	61.991	11.271	1866.625	NA	0.02158439	0.01059074	0.015981911	0.021019019	1.885662888	1.097492	0.330593	0.107202	0.079566	21.652942	0.993237	31.88522	15.952148
52	Jan_B08_0020	Jan	B08	MP1	2014-01-16T22-42-00	11.01.14	81.43066667	17.87966667	980	20	epi	19.83	34.9257	2.1925	2.1915	5.99772	7.60328	0.0426	0.032	27.8965	35.71428571	0.031	NA	0.0111	NA	NA	NA	43.8	525.6	NA	NA	NA	NA	0.08	NA	7.87	7.95	0.52	3.24	84.5	4.08	7.04	5.8	0.23	0.41	17	36.76	441.1	NA	NA	NA	NA	NA	NA	NA	NA	10.05	5.025	NA	NA	35	NA	NA	NA	926000	79300	13600000	6090000	1720000	21400000	0.09	14.68	78.223	13.767	2819.775	NA	0.022358644	0.011074453	0.016292265	0.020638448	1.873839192	1.177826	0.34414	0.106931	0.060871	26.28687	0.996372	32.343628	17.667701
55	Jan_B08_0001	Jan	B08	MP1	2014-01-16T22-42-00	11.01.14	81.43066667	17.87966667	980	1	epi	2.658	34.9262	2.2033	2.2032	5.99609	7.60117	0.0426	0.206	27.8961	NA	NA	NA	NA	NA	NA	NA	40	480	NA	NA	NA	NA	0.1	NA	10.13	10.23	0.69	4.57	27.41	1.59	2.28	3.06	1.15	0.22	10.46	37.72	452.59	NA	NA	NA	NA	NA	NA	NA	NA	65.657	10.101	NA	NA	51	NA	NA	NA	971000	85800	15100000	6130000	1650000	22900000	0.1	15.58	76.393	22.542	2959.299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
130	Mar_M02_1000	Mar	M02	MP2	2014-03-16T22-42-00	06.03.14	81.996	20.017	3000	1000	meso	NA	34.9	-0.1	NA	NA	NA	NA	NA	NA	62.53682724	0.0024	2.00E-04	0.0015	NA	0.00581818	0.000595554	53.2	638.4	15.7	2.2	NA	23.8	0	0.06	13.4	13.46	1	8.3	59.0178314	17.01708302	4.918	9.140132135	3.199857329	0.65	7.53	48.28	579.38	1.59	22.22	0.1	30.42	0.04	0.04	0.6	0.65	2	0	NA	NA	1.502	NA	NA	50	29700	11200	789000	351000	67200	1210000	0.6	41	39.557	7.911	1119.198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
132	Mar_M02_0320	Mar	M02	MP2	2014-03-16T22-42-00	06.03.14	81.996	20.017	3000	320	meso	NA	34.95	2	NA	NA	NA	NA	NA	NA	13.42905405	0.00993	0.00076	0.00133	NA	0.028488276	0.003582275	47.9	574.8	16.1	3.9	NA	12.3	0	0	12.2	12.2	0.9	5.6	77.75241325	31.72185672	6.479	14.49340155	8.166399519	1.04	6.26	41.42	497.05	2.86	40.11	0.18	14.46	0.08	0.05	0.87	0.95	14	1	NA	NA	7.508	NA	NA	105	77900	19300	982000	648000	93600	1720000	0.33	22	51.688	7.911	1409.283	NA	0.038076405	0.017083746	0.047204341	0.24570447	2.069461534	1.760982	0.710814	0.27785	0.188033	18.54453	0.994309	24.005365	12.369881
