file_name	seq_event	accno	env_sample	sample_sizefract	fraction_min	fraction_max	collection_method	dna_concentration	260_280	260_230	seq_method	n_reads	comment
Jan_B08_0001_0.4_3_bc1_1_L1.1.fastq.gz	Jan_B08_0001_0.4_3_bc1_1_L1	ERS5337620	Jan_B08_0001	Jan_B08_0001_0.4_3	0.4	3	niskin	8.6	1.51	3.28	hiseq	329104	
30_MP1_51_euk_S30_L001_R1_001.fastq.gz	30_MP1_51_euk_S30	ERS5051928	Jan_B08_0001	Jan_B08_0001_3_180	3	180	niskin	39.49	1.89	2.83	miseq	62796	
Jan_B08_0001_3_180_bc2_2_L1.1.fastq.gz	Jan_B08_0001_3_180_bc2_2_L1	ERS5337742	Jan_B08_0001	Jan_B08_0001_3_180	3	180	niskin	39.49	1.89	2.83	hiseq	52179	
Jan_B08_0020_0.4_3_bc3_3_L1.1.fastq.gz	Jan_B08_0020_0.4_3_bc3_3_L1	ERS5337619	Jan_B08_0020	Jan_B08_0020_0.4_3	0.4	3	niskin	49.83	1.82	2.83	hiseq	339153	
Jan_B08_0020_3_180_bc4_4_L1.1.fastq.gz	Jan_B08_0020_3_180_bc4_4_L1	ERS5337741	Jan_B08_0020	Jan_B08_0020_3_180	3	180	niskin	30.42	1.82	2.12	hiseq	124753	
Jan_B08_0500_0.4_3_bc5_5_L1.1.fastq.gz	Jan_B08_0500_0.4_3_bc5_5_L1	ERS5337618	Jan_B08_0500	Jan_B08_0500_0.4_3	0.4	3	niskin	63.86	1.83	2.88	hiseq	133859	
31_MP1_59_euk_S31_L001_R1_001.fastq.gz	31_MP1_59_euk_S31	ERS5051927	Jan_B08_0500	Jan_B08_0500_3_180	3	180	niskin	25.04	1.88	2.29	miseq	105810	
Jan_B08_0500_3_180_bc7_6_L1.1.fastq.gz	Jan_B08_0500_3_180_bc7_6_L1	ERS5337740	Jan_B08_0500	Jan_B08_0500_3_180	3	180	niskin	25.04	1.88	2.29	hiseq	126394	
32_MP1_31_euk_S32_L001_R1_001.fastq.gz	32_MP1_31_euk_S32	ERS5051899	Jan_B08_1000	Jan_B08_1000_0.4_3	0.4	3	niskin	6.73	1.77	-8.52	miseq	104851	
Jan_B08_1000_0.4_3_bc8_8_L1.1.fastq.gz	Jan_B08_1000_0.4_3_bc8_8_L1	ERS5337617	Jan_B08_1000	Jan_B08_1000_0.4_3	0.4	3	niskin	6.73	1.77	-8.52	hiseq	47925	
Jan_B08_1000_3_180_bc9_9_L1.1.fastq.gz	Jan_B08_1000_3_180_bc9_9_L1	ERS5337739	Jan_B08_1000	Jan_B08_1000_3_180	3	180	niskin	12.07	1.53	1.53	hiseq	857252	
27_MP1_15_euk_S27_L001_R1_001.fastq.gz	27_MP1_15_euk_S27	ERS5051898	Jan_B16_0001	Jan_B16_0001_0.4_3	0.4	3	niskin	21.31	1.71	3.67	miseq	79466	
Jan_B16_0001_0.4_3_bc10_11_L1.1.fastq.gz	Jan_B16_0001_0.4_3_bc10_11_L1	ERS5337616	Jan_B16_0001	Jan_B16_0001_0.4_3	0.4	3	niskin	21.31	1.71	3.67	hiseq	308518	
28_MP1_47_euk_S28_L001_R1_001.fastq.gz	28_MP1_47_euk_S28	ERS5051926	Jan_B16_0001	Jan_B16_0001_3_180	3	180	niskin	30.52	1.76	2.69	miseq	111151	
Jan_B16_0001_3_180_bc11_10_L1.1.fastq.gz	Jan_B16_0001_3_180_bc11_10_L1	ERS5337738	Jan_B16_0001	Jan_B16_0001_3_180	3	180	niskin	30.52	1.76	2.69	hiseq	953924	
Jan_B16_0020_0.4_3_bc12_12_L1.1.fastq.gz	Jan_B16_0020_0.4_3_bc12_12_L1	ERS5337615	Jan_B16_0020	Jan_B16_0020_0.4_3	0.4	3	niskin	18.43	1.77	4.46	hiseq	88075	
Jan_B16_0020_3_180_bc13_13_L1.1.fastq.gz	Jan_B16_0020_3_180_bc13_13_L1	ERS5337737	Jan_B16_0020	Jan_B16_0020_3_180	3	180	niskin	31.78	1.9	3.18	hiseq	1709420	
Jan_B16_0500_0.4_3_bc14_14_L1.1.fastq.gz	Jan_B16_0500_0.4_3_bc14_14_L1	ERS5337614	Jan_B16_0500	Jan_B16_0500_0.4_3	0.4	3	niskin	24.69	1.71	3.02	hiseq	196614	
Jan_B16_0500_3_180_bc15_15_L1.1.fastq.gz	Jan_B16_0500_3_180_bc15_15_L1	ERS5337736	Jan_B16_0500	Jan_B16_0500_3_180	3	180	niskin	8.14	1.75	7.91	hiseq	551537	
29_MP1_3_euk_S29_L001_R1_001.fastq.gz	29_MP1_3_euk_S29	ERS5051897	Jan_B16_1000	Jan_B16_1000_0.4_3	0.4	3	niskin	7.77	1.49	5.29	miseq	96648	
Jan_B16_1000_0.4_3_bc16_16_L1.1.fastq.gz	Jan_B16_1000_0.4_3_bc16_16_L1	ERS5337613	Jan_B16_1000	Jan_B16_1000_0.4_3	0.4	3	niskin	7.77	1.49	5.29	hiseq	3326	
Jan_B16_1000_3_180_bc1_1_L9.1.fastq.gz	Jan_B16_1000_3_180_bc1_1_L9	ERS5337735	Jan_B16_1000	Jan_B16_1000_3_180	3	180	niskin	6.86	1.44	6.65	hiseq	74858	
Mar_M02_0001_0.4_3_bc5_5_L2.1.fastq.gz	Mar_M02_0001_0.4_3_bc5_5_L2	ERS5337623	Mar_M02_0001	Mar_M02_0001_0.4_3	0.4	3	niskin	16.59	1.63	1.19	hiseq	113912	
Mar_M02_0001_3_180_bc7_7_L2.1.fastq.gz	Mar_M02_0001_3_180_bc7_7_L2	ERS5337745	Mar_M02_0001	Mar_M02_0001_3_180	3	180	niskin	20.95	1.72	2.79	hiseq	563628	
Mar_M02_0320_0.4_3_bc3_3_L2.1.fastq.gz	Mar_M02_0320_0.4_3_bc3_3_L2	ERS5337622	Mar_M02_0320	Mar_M02_0320_0.4_3	0.4	3	niskin	11.45	1.52	1.52	hiseq	329564	
Mar_M02_0320_3_180_bc4_4_L2.1.fastq.gz	Mar_M02_0320_3_180_bc4_4_L2	ERS5337744	Mar_M02_0320	Mar_M02_0320_3_180	3	180	niskin	28.96	7.37	7.72	hiseq	449712	
Mar_M02_1000_0.4_3_bc1_1_L2.1.fastq.gz	Mar_M02_1000_0.4_3_bc1_1_L2	ERS5337621	Mar_M02_1000	Mar_M02_1000_0.4_3	0.4	3	niskin	3.43	1.41	-3.16	hiseq	257119	
Mar_M02_1000_3_180_bc2_2_L2.1.fastq.gz	Mar_M02_1000_3_180_bc2_2_L2	ERS5337743	Mar_M02_1000	Mar_M02_1000_3_180	3	180	niskin	6.03	1.38	4.42	hiseq	572794	
Mar_M03_0001_0.4_3_bc8_8_L2.1.fastq.gz	Mar_M03_0001_0.4_3_bc8_8_L2	ERS5337625	Mar_M03_0001	Mar_M03_0001_0.4_3	0.4	3	niskin	25.93	1.83	2.95	hiseq	162405	
Mar_M03_0001_3_180_bc9_9_L2.1.fastq.gz	Mar_M03_0001_3_180_bc9_9_L2	ERS5337747	Mar_M03_0001	Mar_M03_0001_3_180	3	180	niskin	13.18	1.85	3.55	hiseq	446884	
Mar_M03_0020_0.4_3_bc10_10_L2.1.fastq.gz	Mar_M03_0020_0.4_3_bc10_10_L2	ERS5337624	Mar_M03_0020	Mar_M03_0020_0.4_3	0.4	3	niskin	6.14	1.51	-5.15	hiseq	602017	
Mar_M03_0020_3_180_bc11_11_L2.1.fastq.gz	Mar_M03_0020_3_180_bc11_11_L2	ERS5337746	Mar_M03_0020	Mar_M03_0020_3_180	3	180	niskin	46.49	1.76	2.37	hiseq	1110665	
33_MP2_4_euk_S33_L001_R1_001.fastq.gz	33_MP2_4_euk_S33	ERS5051901	Mar_M04_0001	Mar_M04_0001_0.4_3	0.4	3	niskin	39.77	1.77	2.2	miseq	101348	
Mar_M04_0001_0.4_3_bc12_12_L2.1.fastq.gz	Mar_M04_0001_0.4_3_bc12_12_L2	ERS5337627	Mar_M04_0001	Mar_M04_0001_0.4_3	0.4	3	niskin	39.77	1.77	2.2	hiseq	25552	
Mar_M04_0001_3_180_bc13_13_L2.1.fastq.gz	Mar_M04_0001_3_180_bc13_13_L2	ERS5337749	Mar_M04_0001	Mar_M04_0001_3_180	3	180	niskin	32.48	1.73	1.9	hiseq	605684	
34_MP2_17_euk_S34_L001_R1_001.fastq.gz	34_MP2_17_euk_S34	ERS5051900	Mar_M04_0020	Mar_M04_0020_0.4_3	0.4	3	niskin	35.65	1.6	1	miseq	107302	
Mar_M04_0020_0.4_3_bc14_14_L2.1.fastq.gz	Mar_M04_0020_0.4_3_bc14_14_L2	ERS5337626	Mar_M04_0020	Mar_M04_0020_0.4_3	0.4	3	niskin	35.65	1.6	1	hiseq	41230	
Mar_M04_0020_3_180_bc15_15_L2.1.fastq.gz	Mar_M04_0020_3_180_bc15_15_L2	ERS5337748	Mar_M04_0020	Mar_M04_0020_3_180	3	180	niskin	41.45	1.9	2.84	hiseq	92371	
Mar_M05_0020_0.4_3_bc16_16_L2.1.fastq.gz	Mar_M05_0020_0.4_3_bc16_16_L2	ERS5337629	Mar_M05_0020	Mar_M05_0020_0.4_3	0.4	3	niskin	32.17	1.73	1.67	hiseq	68023	
Mar_M05_0020_3_180_bc2_2_L9.1.fastq.gz	Mar_M05_0020_3_180_bc2_2_L9	ERS5337751	Mar_M05_0020	Mar_M05_0020_3_180	3	180	niskin	48.1	1.78	1.86	hiseq	279157	
Mar_M05_0120_0.4_3_bc18_18_L2.1.fastq.gz	Mar_M05_0120_0.4_3_bc18_18_L2	ERS5337628	Mar_M05_0120	Mar_M05_0120_0.4_3	0.4	3	niskin	19.75	1.7	1.8	hiseq	143692	
Mar_M05_0120_3_180_bc19_19_L2.1.fastq.gz	Mar_M05_0120_3_180_bc19_19_L2	ERS5337750	Mar_M05_0120	Mar_M05_0120_3_180	3	180	niskin	56.03	1.86	1.98	hiseq	94091	
Mar_M06_0020_0.4_3_bc20_6_L2.1.fastq.gz	Mar_M06_0020_0.4_3_bc20_6_L2	ERS5337630	Mar_M06_0020	Mar_M06_0020_0.4_3	0.4	3	niskin	36.03	1.77	2.08	hiseq	196461	
Mar_M06_0020_3_180_bc6_20_L2.1.fastq.gz	Mar_M06_0020_3_180_bc6_20_L2	ERS5337752	Mar_M06_0020	Mar_M06_0020_3_180	3	180	niskin	19.38	1.43	1.26	hiseq	111411	
May_P01_0001_0.4_3_bc1_1_L3.1.fastq.gz	May_P01_0001_0.4_3_bc1_1_L3	ERS5337633	May_P01_0001	May_P01_0001_0.4_3	0.4	3	niskin	4.9	2.56	4.9	hiseq	224680	
May_P01_0001_3_10_bc2_2_L3.1.fastq.gz	May_P01_0001_3_10_bc2_2_L3	ERS5337659	May_P01_0001	May_P01_0001_3_10	3	10	niskin	35.61	1.84	4.05	hiseq	483707	
May_P01_0001_10_50_bc3_3_L3.1.fastq.gz	May_P01_0001_10_50_bc3_3_L3	ERS5337685	May_P01_0001	May_P01_0001_10_50	10	50	niskin	59	1.9	2.74	hiseq	1563947	
May_P01_0001_50_200_bc4_4_L3.1.fastq.gz	May_P01_0001_50_200_bc4_4_L3	ERS5337711	May_P01_0001	May_P01_0001_50_200	50	200	niskin	86.37	1.94	2.67	hiseq	876752	
35_MP3_NP_7_euk_S35_L001_R1_001.fastq.gz	35_MP3_NP_7_euk_S35	ERS5051902	May_P01_0020	May_P01_0020_0.4_3	0.4	3	niskin	8.887	1.47	-3.4	miseq	91378	
May_P01_0020_0.4_3_bc5_5_L3.1.fastq.gz	May_P01_0020_0.4_3_bc5_5_L3	ERS5337632	May_P01_0020	May_P01_0020_0.4_3	0.4	3	niskin	8.887	1.47	-3.4	hiseq	11852	
May_P01_0020_3_10_bc6_7_L3.1.fastq.gz	May_P01_0020_3_10_bc6_7_L3	ERS5337658	May_P01_0020	May_P01_0020_3_10	3	10	niskin	23.17	1.75	-11.89	hiseq	502683	
May_P01_0020_10_50_bc7_6_L3.1.fastq.gz	May_P01_0020_10_50_bc7_6_L3	ERS5337684	May_P01_0020	May_P01_0020_10_50	10	50	niskin	30.99	1.85	3.41	hiseq	782328	
May_P01_0020_50_200_bc8_8_L3.1.fastq.gz	May_P01_0020_50_200_bc8_8_L3	ERS5337710	May_P01_0020	May_P01_0020_50_200	50	200	niskin	62.46	1.87	2.15	hiseq	1125790	
May_P01_0417_0.4_3_bc11_10_L3.1.fastq.gz	May_P01_0417_0.4_3_bc11_10_L3	ERS5337631	May_P01_0417	May_P01_0417_0.4_3	0.4	3	niskin	7.307	1.79	-3.06	hiseq	317413	
May_P01_0417_3_10_bc12_12_L3.1.fastq.gz	May_P01_0417_3_10_bc12_12_L3	ERS5337657	May_P01_0417	May_P01_0417_3_10	3	10	niskin	18.65	1.7	2.56	hiseq	56012	
May_P01_0417_10_50_bc13_13_L3.1.fastq.gz	May_P01_0417_10_50_bc13_13_L3	ERS5337683	May_P01_0417	May_P01_0417_10_50	10	50	niskin	9.453	1.96	1.46	hiseq	1231670	
May_P01_0417_50_200_bc14_14_L3.1.fastq.gz	May_P01_0417_50_200_bc14_14_L3	ERS5337709	May_P01_0417	May_P01_0417_50_200	50	200	niskin	8.065	1.57	2.32	hiseq	134821	
May_P01_net_10_50_bc9_9_L3.1.fastq.gz	May_P01_net_10_50_bc9_9_L3	ERS5337754	May_P01_0020	May_P01_net_10_50	10	50	net	21.31	1.87	2.21	hiseq	886693	
May_P01_net_50_200_bc10_11_L3.1.fastq.gz	May_P01_net_50_200_bc10_11_L3	ERS5337753	May_P01_0020	May_P01_net_50_200	50	200	net	137.4	1.91	2.06	hiseq	1183311	
36_MP3_NP_55_euk_S36_L001_R1_001.fastq.gz	36_MP3_NP_55_euk_S36	ERS5051905	May_P03_0001	May_P03_0001_0.4_3	0.4	3	niskin	32.57	1.55	0.93	miseq	143617	
May_P03_0001_0.4_3_bc15_15_L3.1.fastq.gz	May_P03_0001_0.4_3_bc15_15_L3	ERS5337636	May_P03_0001	May_P03_0001_0.4_3	0.4	3	niskin	32.57	1.55	0.93	hiseq	18884	
May_P03_0001_3_10_bc16_16_L3.1.fastq.gz	May_P03_0001_3_10_bc16_16_L3	ERS5337662	May_P03_0001	May_P03_0001_3_10	3	10	niskin	92.32	1.85	2.03	hiseq	471777	
May_P03_0001_10_50_bc3_3_L9.1.fastq.gz	May_P03_0001_10_50_bc3_3_L9	ERS5337688	May_P03_0001	May_P03_0001_10_50	10	50	niskin	22.35	1.8	3.57	hiseq	805708	
May_P03_0001_50_200_bc18_18_L3.1.fastq.gz	May_P03_0001_50_200_bc18_18_L3	ERS5337714	May_P03_0001	May_P03_0001_50_200	50	200	niskin	11.14	1.8	12.19	hiseq	1321275	
37_MP3_NP_87_euk_S37_L001_R1_001.fastq.gz	37_MP3_NP_87_euk_S37	ERS5051904	May_P03_0015	May_P03_0015_0.4_3	0.4	3	niskin	24.71	1.73	3.69	miseq	120647	
May_P03_0015_0.4_3_bc19_19_L3.1.fastq.gz	May_P03_0015_0.4_3_bc19_19_L3	ERS5337635	May_P03_0015	May_P03_0015_0.4_3	0.4	3	niskin	24.71	1.73	3.69	hiseq	569	
