new_sample_name	old_sample_name
Jan_B08_0001_0.4_3_ni_hi	MP1_Pr_19.V4Lf_bc1.V4LrZ_bcr1.V4
Jan_B08_0001_3_180_ni_hi	MP1_Pr_51.V4Lf_bc2.V4LrZ_bcr2.V4
Jan_B08_0020_0.4_3_ni_hi	MP1_Pr_23.V4Lf_bc3.V4LrZ_bcr3.V4
Jan_B08_0020_3_180_ni_hi	MP1_Pr_55.V4Lf_bc4.V4LrZ_bcr4.V4
Jan_B08_0500_0.4_3_ni_hi	MP1_Pr_27.V4Lf_bc5.V4LrZ_bcr5.V4
Jan_B08_0500_3_180_ni_hi	MP1_Pr_59.V4Lf_bc7.V4LrZ_bcr7.V4
Jan_B08_1000_0.4_3_ni_hi	MP1_Pr_31.V4Lf_bc8.V4LrZ_bcr8.V4
Jan_B08_1000_3_180_ni_hi	MP1_Pr_63.V4Lf_bc9.V4LrZ_bcr9.V4
Jan_B16_0001_0.4_3_ni_hi	MP1_Pr_15.V4Lf_bc10.V4LrZ_bcr11.V4
Jan_B16_0001_3_180_ni_hi	MP1_Pr_47.V4Lf_bc11.V4LrZ_bcr10.V4
Jan_B16_0020_0.4_3_ni_hi	MP1_Pr_7.V4Lf_bc12.V4LrZ_bcr12.V4
Jan_B16_0020_3_180_ni_hi	MP1_Pr_39.V4Lf_bc13.V4LrZ_bcr13.V4
Jan_B16_0500_0.4_3_ni_hi	MP1_Pr_11.V4Lf_bc14.V4LrZ_bcr14.V4
Jan_B16_0500_3_180_ni_hi	MP1_Pr_43.V4Lf_bc15.V4LrZ_bcr15.V4
Jan_B16_1000_0.4_3_ni_hi	MP1_Pr_3.V4Lf_bc16.V4LrZ_bcr16.V4
Jan_B16_1000_3_180_ni_hi	MP1_Pr_35.V4Lf_bc1.V4LrZ_bcr1.V4
Mar_M02_0001_0.4_3_ni_hi	MP2_f.V4Lf_bc1.V4LrZ_bcr1.V4
Mar_M02_0001_3_180_ni_hi	MP2_e.V4Lf_bc2.V4LrZ_bcr2.V4
