SampleID	Description
MP1_Pr_19	"MP1_B8_1_0.4.3"
MP1_51sum	"MP1_B8_1_3.180"
MP1_Pr_23	"MP1_B8_20_0.4.3"
MP1_Pr_55	"MP1_B8_20_3.180"
MP1_Pr_27	"MP1_B8_500_0.4.3"
MP1_59sum	"MP1_B8_500_3.180"
MP1_31sum	"MP1_B8_1000_0.4.3"
MP1_Pr_63	"MP1_B8_1000_3.180"
MP1_15sum	"MP1_B16_1_0.4.3"
MP1_47sum	"MP1_B16_1_3.180"
MP1_Pr_7	"MP1_B16_20_0.4.3"
MP1_Pr_39	"MP1_B16_20_3.180"
MP1_Pr_11	"MP1_B16_500_0.4.3"
MP1_Pr_43	"MP1_B16_500_3.180"
MP1_3sum	"MP1_B16_1000_0.4.3"
MP1_Pr_35	"MP1_B16_1000_3.180"
MP2_b	"MP2_MP2.2_1_0.4.3"
MP2_a	"MP2_MP2.2_1_3.180"
MP2_d	"MP2_MP2.2_320_0.4.3"
MP2_c	"MP2_MP2.2_320_3.180"
MP2_f	"MP2_MP2.2_1000_0.4.3"
MP2_e	"MP2_MP2.2_1000_3.180"
MP2_h	"MP2_MP2.3_1_0.4.3"
MP2_g	"MP2_MP2.3_1_3.180"
MP2_2	"MP2_MP2.3_20_0.4.3"
MP2_1	"MP2_MP2.3_20_3.180"
MP2_4sum	"MP2_MP2.4_1_0.4.3"
MP2_16	"MP2_MP2.4_1_3.180"
MP2_17sum	"MP2_MP2.4_20_0.4.3"
MP2_18	"MP2_MP2.4_20_3.180"
MP2_19	"MP2_MP2.5_20_0.4.3"
MP2_20	"MP2_MP2.5_20_3.180"
MP2_21	"MP2_MP2.5_120_0.4.3"
MP2_22	"MP2_MP2.5_120_3.180"
MP2_23	"MP2_MP2.6_20_0.4.3"
MP2_11	"MP2_MP2.6_20_3.180"
MP3_NP_24	"MP3_P1_1_0.4.3"
MP3_NP_19	"MP3_P1_1_3.10"
MP3_MI_19	"MP3_P1_1_10.50"
MP3_MI_18	"MP3_P1_1_50.200"
MP3_NP_7sum	"MP3_P1_20_0.4.3"
MP3_NP_3	"MP3_P1_20_3.10"
MP3_MI_6	"MP3_P1_20_10.50"
MP3_MI_4	"MP3_P1_20_50.200"
MP3_NP_39	"MP3_P1_417_0.4.3"
MP3_NP_35	"MP3_P1_417_3.10"
MP3_MI_25	"MP3_P1_417_10.50"
MP3_MI_23	"MP3_P1_417_50.200"
MP3_MI_12	"MP3_P1_net_10.50"
MP3_MI_10	"MP3_P1_net_50.200"
MP3_NP_55sum	"MP3_P3_1_0.4.3"
MP3_NP_51	"MP3_P3_1_3.10"
MP3_MI_35	"MP3_P3_1_10.50"
MP3_MI_32	"MP3_P3_1_50.200"
MP3_NP_87sum	"MP3_P3_15_0.4.3"
MP3_NP_75	"MP3_P3_15_3.10"
MP3_MI_31	"MP3_P3_15_10.50"
MP3_MI_29	"MP3_P3_15_50.200"
MP3_NP_63sum	"MP3_P3_447_0.4.3"
MP3_NP_59	"MP3_P3_447_3.10"
MP3_MI_41	"MP3_P3_447_10.50"
MP3_MI_39	"MP3_P3_447_50.200"
MP3_MI_47	"MP3_P3_net_10.50"
MP3_MI_45	"MP3_P3_net_50.200"
MP3_NP_118sum	"MP3_P4_1_0.4.3"
MP3_NP_114sum	"MP3_P4_1_3.10"
MP3_MI_65	"MP3_P4_1_10.50"
MP3_MI_63	"MP3_P4_1_50.200"
MP3_NP_71	"MP3_P4_15_0.4.3"
MP3_NP_67	"MP3_P4_15_3.10"
MP3_MI_69	"MP3_P4_15_10.50"
MP3_MI_67	"MP3_P4_15_50.200"
MP3_NP_111sum	"MP3_P4_500_0.4.3"
MP3_NP_107sum	"MP3_P4_500_3.10"
MP3_MI_59	"MP3_P4_500_10.50"
MP3_MI_57	"MP3_P4_500_50.200"
MP3_NP_103	"MP3_P4_1000_0.4.3"
MP3_NP_99sum	"MP3_P4_1000_3.10"
MP3_MI_55	"MP3_P4_1000_10.50"
MP3_MI_53	"MP3_P4_1000_50.200"
MP3_MI_73	"MP3_P4_net_50.200"
MP4_NP_6	"MP4_P5_1_0.4.3"
MP4_NP_2	"MP4_P5_1_3.10"
MP4_MI_5	"MP4_P5_1_10.50"
MP4_MI_3sum	"MP4_P5_1_50.200"
MP4_NP_16	"MP4_P5_20_0.4.3"
MP4_MI_10b	"MP4_P5_20_3.10"
MP4_MI_12	"MP4_P5_20_10.50"
MP4_MI_10a	"MP4_P5_20_50.200"
MP4_NP_24	"MP4_P5_213_0.4.3"
MP4_NP_18	"MP4_P5_213_3.10"
MP4_MI_18	"MP4_P5_213_10.50"
MP4_MI_16sum	"MP4_P5_213_50.200"
MP4_MI_24	"MP4_P5_net_10.50"
MP4_MI_22sum2	"MP4_P5_net_50.200"
MP4_NP_30sum2	"MP4_P6_1_0.4.3"
MP4_NP_26	"MP4_P6_1_3.10"
MP4_MI_30	"MP4_P6_1_10.50"
MP4_MI_28	"MP4_P6_1_50.200"
MP4_NP_38sum2	"MP4_P6_24_0.4.3"
MP4_NP_34sum	"MP4_P6_24_3.10"
