file_name	env_sample	sample_sizefract	fraction_min	fraction_max	collection_method	dna_concentration	260_280	260_230	n_reads	comment
"44_MP4_MI_3_euk_S44_L001_R{1,2}_001.fastq.gz"	Aug_P05_0001	Aug_P05_0001_50_200	50	200	niskin	196.53	1.9	2.25		
"45_MP4_MI_16_euk_S45_L001_R{1,2}_001.fastq.gz"	Aug_P05_0213	Aug_P05_0213_50_200	50	200	niskin	4.4	1.98	3.06		
"46_MP4_NP_30_euk_S46_L001_R{1,2}_001.fastq.gz"	Aug_P06_0001	Aug_P06_0001_0.4_3	0.4	3	niskin	103.5	1.82	2.03		
"48_MP4_NP_38_euk_S48_L001_R{1,2}_001.fastq.gz"	Aug_P06_0024	Aug_P06_0024_0.4_3	0.4	3	niskin	124.62	1.89	2.51		
"47_MP4_NP_34_euk_S47_L001_R{1,2}_001.fastq.gz"	Aug_P06_0024	Aug_P06_0024_3_10	3	10	niskin	62.68	1.89	2.26		
"50_MP4_MI_52_euk_S50_L001_R{1,2}_001.fastq.gz"	Aug_P06_0024	Aug_P06_net_50_200	50	200	net	25.85	1.82	2.01		
"49_MP4_MI_48_euk_S49_L001_R{1,2}_001.fastq.gz"	Aug_P06_0500	Aug_P06_0500_10_50	10	50	niskin	10.67	1.76	0.99		
"52_MP4_NP_66_euk_S52_L001_R{1,2}_001.fastq.gz"	Aug_P07_0025	Aug_P07_0025_3_10	3	10	niskin	177.15	1.93	2.44		
"51_MP4_MI_66_euk_S51_L001_R{1,2}_001.fastq.gz"	Aug_P07_0025	Aug_P07_0025_10_50	10	50	niskin	130.98	1.88	1.96		
"53_MP4_NP_86_euk_S53_L001_R{1,2}_001.fastq.gz"	Aug_P07_0500	Aug_P07_0500_0.4_3	0.4	3	niskin	20.46	1.82	3.83		
"54_MP4_NP_74_euk_S54_L001_R{1,2}_001.fastq.gz"	Aug_P07_1000	Aug_P07_1000_3_10	3	10	niskin	3.61	2.75	4.71		
"30_MP1_51_euk_S30_L001_R{1,2}_001.fastq.gz"	Jan_B08_0001	Jan_B08_0001_3_180	3	180	niskin	39.49	1.89	2.83		
